pick_id,logged_date,match_date,league_code,league_name,home_team,away_team,sport,metric,scope,team,direction,line,confidence,label,status,actual_value,result,settled_date
football|Monaco|Lens|18/09/2026|corners|away|Over,2026-09-18,18/09/2026,F1,Ligue 1,Monaco,Lens,football,corners,away,Lens,Over,2.5,0.989,Lens - Over 2.5 Corners,pending,,,
football|Monaco|Lens|18/09/2026|corners|match|Over,2026-09-18,18/09/2026,F1,Ligue 1,Monaco,Lens,football,corners,match,,Over,8.5,0.94,Monaco v Lens - Over 8.5 Corners,pending,,,
football|Monaco|Lens|18/09/2026|corners|home|Over,2026-09-18,18/09/2026,F1,Ligue 1,Monaco,Lens,football,corners,home,Monaco,Over,2.5,0.925,Monaco - Over 2.5 Corners,pending,,,
football|Monaco|Lens|18/09/2026|cards|home|Over,2026-09-18,18/09/2026,F1,Ligue 1,Monaco,Lens,football,cards,home,Monaco,Over,0.5,0.918,Monaco - Over 0.5 Cards,pending,,,
football|Monaco|Lens|18/09/2026|cards|away|Over,2026-09-18,18/09/2026,F1,Ligue 1,Monaco,Lens,football,cards,away,Lens,Over,0.5,0.903,Lens - Over 0.5 Cards,pending,,,
football|Barnet|Fleetwood Town|19/09/2026|cards|away|Over,2026-09-19,19/09/2026,E3,League Two,Barnet,Fleetwood Town,football,cards,away,Fleetwood Town,Over,0.5,0.999,Fleetwood Town - Over 0.5 Cards,pending,,,
football|Salford|Swindon|19/09/2026|corners|home|Over,2026-09-19,19/09/2026,E3,League Two,Salford,Swindon,football,corners,home,Salford,Over,2.5,0.999,Salford - Over 2.5 Corners,pending,,,
football|Hibernian|Aberdeen|19/09/2026|corners|home|Over,2026-09-19,19/09/2026,SC0,Scottish Premiership,Hibernian,Aberdeen,football,corners,home,Hibernian,Over,2.5,0.999,Hibernian - Over 2.5 Corners,pending,,,
football|Lyon|Rennes|19/09/2026|corners|home|Over,2026-09-19,19/09/2026,F1,Ligue 1,Lyon,Rennes,football,corners,home,Lyon,Over,2.5,0.999,Lyon - Over 2.5 Corners,pending,,,
football|Cardiff|Charlton|19/09/2026|corners|home|Over,2026-09-19,19/09/2026,E1,Championship,Cardiff,Charlton,football,corners,home,Cardiff,Over,2.5,0.998,Cardiff - Over 2.5 Corners,pending,,,
