Round Number,Date,Location,Home Team,Away Team,Result
6,06/09/2026 14:00,Tynecastle Park,Heart of Midlothian,Dundee,
6,06/09/2026 14:00,McDiarmid Park,St. Johnstone,Hibernian,
7,19/09/2026 14:00,Dens Park,Dundee,Motherwell,
7,19/09/2026 14:00,Easter Road Stadium,Hibernian,Aberdeen,
7,19/09/2026 14:00,McDiarmid Park,St. Johnstone,Falkirk,
7,19/09/2026 14:00,The Marbill Coaches Stadium,St. Mirren,Dundee United,
7,19/09/2026 16:45,The BBSP Stadium Rugby Park,Kilmarnock,Heart of Midlothian,
7,20/09/2026 11:00,Celtic Park,Celtic,Rangers,
8,10/10/2026 14:00,Pittodrie Stadium,Aberdeen,St. Johnstone,
8,10/10/2026 14:00,CalForth Construction Arena at Tannadice Park,Dundee United,Hibernian,
8,10/10/2026 14:00,The Falkirk Stadium,Falkirk,Dundee,
8,10/10/2026 14:00,Tynecastle Park,Heart of Midlothian,St. Mirren,
8,10/10/2026 14:00,Fir Park,Motherwell,Celtic,
