Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
F1,01/11/2025,18:00,Monaco,Paris FC,0,1,A,0,0,D,,10,9,1,1,3,2,3,2,0,0,,,F1,2526
F1,01/11/2025,20:05,Auxerre,Marseille,0,1,A,0,1,A,,9,6,4,2,3,3,3,4,1,1,,,F1,2526
F1,02/11/2025,14:00,Rennes,Strasbourg,4,1,H,2,0,H,,13,20,6,2,6,5,1,1,0,0,,,F1,2526
F1,02/11/2025,16:15,Lens,Lorient,3,0,H,1,0,H,,9,12,6,3,7,6,2,2,0,0,,,F1,2526
F1,02/11/2025,16:15,Lille,Angers,1,0,H,1,0,H,,15,6,4,1,9,2,1,0,0,0,,,F1,2526
F1,02/11/2025,16:15,Nantes,Metz,0,2,A,0,0,D,,16,14,4,7,8,5,1,3,0,0,,,F1,2526
F1,02/11/2025,16:15,Toulouse,Le Havre,0,0,D,0,0,D,,18,9,2,3,10,2,1,2,0,0,,,F1,2526
F1,02/11/2025,19:45,Brest,Lyon,0,0,D,0,0,D,,13,4,3,2,12,2,1,0,0,1,,,F1,2526
F1,07/11/2025,19:45,Paris FC,Rennes,0,1,A,0,0,D,,19,10,4,3,8,9,4,2,0,0,,,F1,2526
F1,08/11/2025,16:00,Marseille,Brest,3,0,H,2,0,H,,19,4,7,2,6,2,0,1,0,0,,,F1,2526
F1,08/11/2025,18:00,Le Havre,Nantes,1,1,D,0,1,A,,17,5,4,2,8,3,3,3,0,0,,,F1,2526
F1,08/11/2025,20:05,Monaco,Lens,1,4,A,1,3,A,,16,20,6,12,5,4,1,2,1,0,,,F1,2526
F1,09/11/2025,14:00,Lorient,Toulouse,1,1,D,1,0,H,,10,6,2,2,6,4,0,4,0,0,,,F1,2526
F1,09/11/2025,16:15,Angers,Auxerre,2,0,H,0,0,D,,9,12,5,5,3,3,2,2,0,0,,,F1,2526
F1,09/11/2025,16:15,Metz,Nice,2,1,H,0,1,A,,9,11,2,4,6,3,2,4,0,0,,,F1,2526
F1,09/11/2025,16:15,Strasbourg,Lille,2,0,H,1,0,H,,5,7,2,4,1,4,4,3,0,1,,,F1,2526
F1,09/11/2025,19:45,Lyon,Paris SG,2,3,A,1,2,A,,9,9,2,4,5,5,5,2,1,0,,,F1,2526
F1,21/11/2025,19:45,Nice,Marseille,1,5,A,0,2,A,,15,13,7,11,8,6,2,2,0,0,,,F1,2526
F1,22/11/2025,16:00,Lens,Strasbourg,1,0,H,0,0,D,,13,7,5,1,3,1,2,3,1,1,,,F1,2526
F1,22/11/2025,18:00,Rennes,Monaco,4,1,H,1,0,H,,17,13,9,3,4,6,0,1,0,1,,,F1,2526
F1,22/11/2025,20:05,Paris SG,Le Havre,3,0,H,1,0,H,,31,12,11,4,6,4,2,1,0,0,,,F1,2526
F1,23/11/2025,14:00,Auxerre,Lyon,0,0,D,0,0,D,,12,16,5,7,7,11,1,3,0,0,,,F1,2526
F1,23/11/2025,16:15,Brest,Metz,3,2,H,1,1,D,,20,7,7,3,6,2,2,3,0,0,,,F1,2526
F1,23/11/2025,16:15,Nantes,Lorient,1,1,D,0,1,A,,9,7,1,1,1,1,1,1,0,0,,,F1,2526
F1,23/11/2025,16:15,Toulouse,Angers,0,1,A,0,1,A,,25,6,6,2,11,1,1,3,0,0,,,F1,2526
F1,23/11/2025,19:45,Lille,Paris FC,4,2,H,1,1,D,,17,6,10,3,9,4,1,2,0,0,,,F1,2526
F1,28/11/2025,19:45,Metz,Rennes,0,1,A,0,1,A,,16,9,5,2,6,3,0,0,0,0,,,F1,2526
F1,29/11/2025,16:00,Monaco,Paris SG,1,0,H,0,0,D,,10,17,5,4,4,4,3,1,1,0,,,F1,2526
F1,29/11/2025,18:00,Paris FC,Auxerre,1,1,D,1,1,D,,11,11,2,3,4,3,2,1,0,0,,,F1,2526
F1,29/11/2025,20:05,Marseille,Toulouse,2,2,D,0,1,A,,20,6,5,4,9,1,2,1,0,0,,,F1,2526
F1,30/11/2025,14:00,Strasbourg,Brest,1,2,A,1,0,H,,14,7,6,4,5,0,0,3,0,0,,,F1,2526
F1,30/11/2025,16:15,Angers,Lens,1,2,A,0,1,A,,7,17,5,6,2,8,1,1,0,0,,,F1,2526
F1,30/11/2025,16:15,Le Havre,Lille,0,1,A,0,0,D,,14,8,7,2,6,2,1,3,0,1,,,F1,2526
F1,30/11/2025,16:15,Lorient,Nice,3,1,H,2,1,H,,18,9,7,2,3,7,1,2,0,0,,,F1,2526
F1,30/11/2025,19:45,Lyon,Nantes,3,0,H,0,0,D,,20,6,8,2,7,0,1,2,0,1,,,F1,2526
F1,05/12/2025,18:00,Brest,Monaco,1,0,H,1,0,H,,12,10,4,2,2,3,2,4,1,0,,,F1,2526
F1,05/12/2025,20:00,Lille,Marseille,1,0,H,1,0,H,,5,6,2,2,2,5,1,1,0,0,,,F1,2526
F1,06/12/2025,16:00,Nantes,Lens,1,2,A,1,1,D,,10,20,4,6,1,12,2,0,0,0,,,F1,2526
F1,06/12/2025,18:00,Toulouse,Strasbourg,1,0,H,1,0,H,,6,3,3,0,1,2,3,3,0,0,,,F1,2526
F1,06/12/2025,20:05,Paris SG,Rennes,5,0,H,2,0,H,,20,6,9,2,8,6,0,3,0,1,,,F1,2526
F1,07/12/2025,14:00,Nice,Angers,0,1,A,0,1,A,,13,8,3,4,4,1,1,1,1,0,,,F1,2526
F1,07/12/2025,16:15,Auxerre,Metz,3,1,H,2,1,H,,14,5,7,3,5,3,2,1,0,0,,,F1,2526
F1,07/12/2025,16:15,Le Havre,Paris FC,0,0,D,0,0,D,,13,13,2,2,7,2,0,2,0,0,,,F1,2526
F1,07/12/2025,19:45,Lorient,Lyon,1,0,H,1,0,H,,14,7,6,4,1,7,2,2,0,1,,,F1,2526
F1,12/12/2025,19:45,Angers,Nantes,4,1,H,1,0,H,,20,7,9,4,6,3,1,2,0,0,,,F1,2526
F1,13/12/2025,16:00,Rennes,Brest,3,1,H,2,1,H,,9,14,5,7,5,7,2,3,0,0,,,F1,2526
F1,13/12/2025,18:00,Metz,Paris SG,2,3,A,1,2,A,,9,14,5,9,4,4,2,1,0,0,,,F1,2526
F1,13/12/2025,20:05,Paris FC,Toulouse,0,3,A,0,2,A,,9,7,2,4,7,4,3,1,0,0,,,F1,2526
F1,14/12/2025,14:00,Lyon,Le Havre,1,0,H,0,0,D,,18,10,4,4,5,4,2,4,0,0,,,F1,2526
F1,14/12/2025,16:15,Auxerre,Lille,3,4,A,0,1,A,,18,8,8,5,10,3,5,2,2,2,,,F1,2526
F1,14/12/2025,16:15,Lens,Nice,2,0,H,1,0,H,,15,8,5,4,2,5,0,2,0,0,,,F1,2526
F1,14/12/2025,16:15,Strasbourg,Lorient,0,0,D,0,0,D,,12,10,2,2,11,3,1,0,0,0,,,F1,2526
F1,14/12/2025,19:45,Marseille,Monaco,1,0,H,0,0,D,,18,18,8,7,3,7,2,1,0,0,,,F1,2526
F1,02/01/2026,19:45,Toulouse,Lens,0,3,A,0,0,D,,8,16,2,7,2,8,2,3,1,0,,,F1,2526
F1,03/01/2026,16:00,Monaco,Lyon,1,3,A,1,1,D,,6,13,2,9,7,2,2,3,1,0,,,F1,2526
F1,03/01/2026,18:00,Nice,Strasbourg,1,1,D,0,1,A,,19,8,6,5,5,7,1,2,0,0,,,F1,2526
F1,03/01/2026,20:05,Lille,Rennes,0,2,A,0,0,D,,13,18,3,4,4,7,1,1,1,0,,,F1,2526
F1,04/01/2026,14:00,Marseille,Nantes,0,2,A,0,1,A,,11,15,4,9,6,3,2,3,2,0,,,F1,2526
F1,04/01/2026,16:15,Brest,Auxerre,2,0,H,1,0,H,,11,10,4,1,7,6,3,2,0,0,,,F1,2526
F1,04/01/2026,16:15,Le Havre,Angers,2,1,H,1,0,H,,11,9,6,3,6,6,1,1,0,0,,,F1,2526
F1,04/01/2026,16:15,Lorient,Metz,1,1,D,0,1,A,,16,8,5,2,4,4,1,2,0,0,,,F1,2526
