Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HxG,AxG,League,Season
SC0,20/12/2025,15:00,Motherwell,Dundee,1,0,H,0,0,D,M MacDermid,16,5,7,2,2,3,1,2,0,0,,,SC0,2526
SC0,20/12/2025,15:00,St Mirren,Livingston,1,0,H,0,0,D,C Graham,16,5,4,1,7,4,0,1,0,0,,,SC0,2526
SC0,21/12/2025,13:30,Hearts,Rangers,2,1,H,2,0,H,N Walsh,14,11,5,2,6,10,2,1,0,0,,,SC0,2526
SC0,21/12/2025,15:00,Celtic,Aberdeen,3,1,H,1,0,H,D Dickinson,31,10,10,2,8,4,1,2,0,0,,,SC0,2526
SC0,27/12/2025,12:30,Hibernian,Hearts,3,2,H,2,0,H,J Beaton,12,16,7,7,3,8,1,0,0,0,,,SC0,2526
SC0,27/12/2025,15:00,Dundee,Falkirk,1,0,H,1,0,H,S McLean,10,23,4,1,1,9,3,2,0,0,,,SC0,2526
SC0,27/12/2025,15:00,Livingston,Celtic,2,4,A,2,4,A,M MacDermid,13,18,3,7,11,4,1,0,0,0,,,SC0,2526
SC0,27/12/2025,15:00,Rangers,Motherwell,1,0,H,0,0,D,D Dickinson,28,12,13,5,5,1,3,1,0,0,,,SC0,2526
SC0,27/12/2025,15:00,St Mirren,Kilmarnock,0,0,D,0,0,D,D Robertson,19,11,7,3,11,4,1,0,0,0,,,SC0,2526
SC0,27/12/2025,17:45,Aberdeen,Dundee United,1,1,D,0,1,A,C Scott,14,13,6,3,9,5,2,3,0,0,,,SC0,2526
SC0,30/12/2025,19:45,Dundee,Kilmarnock,2,1,H,0,1,A,N Walsh,26,8,6,4,7,5,2,4,0,0,,,SC0,2526
SC0,30/12/2025,19:45,Hibernian,Aberdeen,2,0,H,0,0,D,D McFarlane,20,8,5,2,4,5,1,2,0,0,,,SC0,2526
SC0,30/12/2025,19:45,Livingston,Dundee United,1,3,A,0,1,A,G Irvine,10,22,6,10,2,7,4,0,0,0,,,SC0,2526
SC0,30/12/2025,19:45,Rangers,St Mirren,2,1,H,1,0,H,R Lee,16,10,5,4,5,4,1,2,0,0,,,SC0,2526
SC0,30/12/2025,20:00,Motherwell,Celtic,2,0,H,1,0,H,K Clancy,11,8,6,3,1,3,0,4,0,0,,,SC0,2526
SC0,03/01/2026,12:30,Celtic,Rangers,1,3,A,1,0,H,S Steven ,21,9,9,4,8,5,0,3,0,0,,,SC0,2526
SC0,03/01/2026,15:00,Dundee United,Dundee,0,1,A,0,1,A,D Robertson,22,16,5,3,8,2,2,1,0,0,,,SC0,2526
SC0,03/01/2026,15:00,Falkirk,Aberdeen,1,0,H,0,0,D,J Beaton,21,7,7,0,5,4,2,4,0,0,,,SC0,2526
SC0,03/01/2026,15:00,Hearts,Livingston,1,0,H,1,0,H,C Graham,17,10,3,2,7,3,0,3,0,0,,,SC0,2526
SC0,03/01/2026,15:00,Kilmarnock,Hibernian,1,3,A,0,1,A,D Dickinson,8,15,1,9,5,3,3,3,1,0,,,SC0,2526
SC0,03/01/2026,15:00,Motherwell,St Mirren,2,0,H,1,0,H,C Scott,15,9,8,2,9,8,0,4,0,0,,,SC0,2526
